,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
82,0.6277863025665283,0.09237702770149818,0.027954959869384767,5.014812763130151e-05,400,9,5,sqrt,7,True,"{'n_estimators': np.int64(400), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(5), 'max_features': 'sqrt', 'max_depth': np.int64(7), 'bootstrap': True}",0.9548507462686567,0.9315298507462686,0.9222014925373134,0.9135802469135802,0.9047348484848484,0.9253794369901336,0.017215719049301532,10
83,0.5211469650268554,0.013819563191095044,0.038028621673583986,0.002510614338103793,600,9,6,log2,1,False,"{'n_estimators': np.int64(600), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(6), 'max_features': 'log2', 'max_depth': np.int64(1), 'bootstrap': False}",0.9349813432835821,0.90830223880597,0.9347014925373135,0.8951552562663673,0.8867424242424242,0.9119765510271314,0.01989402481006502,62
84,0.8971559524536132,0.08006661431781177,0.05110788345336914,0.016953281358881155,700,5,5,log2,2,True,"{'n_estimators': np.int64(700), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(5), 'max_features': 'log2', 'max_depth': np.int64(2), 'bootstrap': True}",0.9477611940298507,0.9188432835820896,0.9292910447761195,0.9044145155256267,0.8950757575757575,0.9190771590978887,0.01853759644579972,58
85,1.4794935703277587,0.5382657156043487,0.06586298942565919,0.021083963633314506,800,9,4,log2,14,True,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(4), 'max_features': 'log2', 'max_depth': np.int64(14), 'bootstrap': True}",0.9552238805970149,0.933955223880597,0.9208955223880597,0.9126449682005238,0.9024621212121211,0.9250363432556632,0.01828180470535214,17
87,0.9190776824951172,0.014561755597500281,0.04832272529602051,0.0011558484362195795,700,7,6,log2,8,False,"{'n_estimators': np.int64(700), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(6), 'max_features': 'log2', 'max_depth': np.int64(8), 'bootstrap': False}",0.9555970149253732,0.9341417910447761,0.9205223880597015,0.9090909090909091,0.906439393939394,0.9251582994120306,0.018095682644814703,15
88,0.2954061985015869,0.015754360684720033,0.01785740852355957,0.002311847797726945,100,8,9,sqrt,12,True,"{'n_estimators': np.int64(100), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(9), 'max_features': 'sqrt', 'max_depth': np.int64(12), 'bootstrap': True}",0.9548507462686567,0.9244402985074628,0.921455223880597,0.909652076318743,0.9081439393939393,0.9237084568738798,0.016824332845856917,35
90,1.4455627918243408,0.3675550811442087,0.05553627014160156,0.0008410941703599222,800,2,2,log2,16,True,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(2), 'min_samples_leaf': np.int64(2), 'max_features': 'log2', 'max_depth': np.int64(16), 'bootstrap': True}",0.9533582089552239,0.934141791044776,0.9212686567164179,0.9124579124579124,0.9001893939393939,0.9242831926227449,0.018286521540642767,28
91,0.3949585437774658,0.01205746740405074,0.023556900024414063,0.002130981666389486,300,8,6,log2,8,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(6), 'max_features': 'log2', 'max_depth': np.int64(8), 'bootstrap': False}",0.9559701492537314,0.9350746268656716,0.919589552238806,0.9090909090909091,0.9068181818181819,0.92530868385346,0.01829274420966409,11
93,0.396790599822998,0.010346396205840495,0.02568507194519043,0.006645478995332611,300,7,7,sqrt,14,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(7), 'max_features': 'sqrt', 'max_depth': np.int64(14), 'bootstrap': False}",0.9559701492537314,0.9335820895522388,0.9205223880597015,0.90778151889263,0.905871212121212,0.9247454715759027,0.01851979540023108,24
94,0.8779064655303955,0.27974996743352626,0.039313554763793945,0.013194350518928602,400,4,9,sqrt,6,True,"{'n_estimators': np.int64(400), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(9), 'max_features': 'sqrt', 'max_depth': np.int64(6), 'bootstrap': True}",0.9522388059701493,0.9274253731343284,0.9225746268656716,0.9120838009726899,0.9041666666666666,0.9236978547219012,0.01640789739013124,37
95,0.7222021579742431,0.011724392903035848,0.03619618415832519,0.0017268653859358347,500,8,8,sqrt,13,True,"{'n_estimators': np.int64(500), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(8), 'max_features': 'sqrt', 'max_depth': np.int64(13), 'bootstrap': True}",0.951865671641791,0.9272388059701493,0.9207089552238806,0.9124579124579124,0.9024621212121211,0.922946693301171,0.016669548454474704,46
