model,accuracy,auc,f1_score,cm,training_time(ms),testing_time(ms),objective,grow_policy,booster,colsample_bylevel,colsample_bynode,colsample_bytree,early_stopping_rounds,gamma,learning_rate,max_depth,min_child_weight,n_estimators,random_state,reg_alpha,reg_lambda,sampling_method,scale_pos_weight,subsample
XGBClassifier,0.8913043478260869,0.890156572399563,0.9056603773584906,"[[68  9]
 [11 96]]",178.1599521636963,3.133535385131836,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,300.0,0,0.9,0.7,,,
XGBClassifier,0.8913043478260869,0.890156572399563,0.9056603773584906,"[[68  9]
 [11 96]]",135.15114784240723,1.4071464538574219,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,0.8,200.0,0,0.9,,,,
XGBClassifier,0.8913043478260869,0.8919771816968078,0.9047619047619048,"[[69  8]
 [12 95]]",206.10833168029785,1.523733139038086,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,0.8,300.0,0,0.9,,,,
XGBClassifier,0.8858695652173914,0.8854836752033014,0.9004739336492891,"[[68  9]
 [12 95]]",138.43941688537598,1.4903545379638672,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,0.8,300.0,0,0.9,,,,0.8
XGBClassifier,0.8913043478260869,0.890156572399563,0.9056603773584906,"[[68  9]
 [11 96]]",241.9276237487793,1.3773441314697266,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,0.8,200.0,0,0.9,,,,
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",257.13229179382324,1.2960433959960938,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,200.0,0,0.9,,,,
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",94.24638748168945,1.3267993927001953,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,200.0,0,0.9,,,,
XGBClassifier,0.8967391304347826,0.8966500788930695,0.909952606635071,"[[69  8]
 [11 96]]",94.24138069152832,1.2466907501220703,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,150.0,0,0.9,,,,
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",101.05371475219727,1.2781620025634766,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,190.0,0,0.9,,,,
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",113.85512351989746,7.9898834228515625,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,180.0,0,0.9,,,,
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",99.13396835327148,1.314401626586914,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,175.0,0,0.9,,,,
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",88.94109725952148,1.3382434844970703,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,160.0,0,0.9,,,,
XGBClassifier,0.8967391304347826,0.8966500788930695,0.909952606635071,"[[69  8]
 [11 96]]",73.24647903442383,1.249074935913086,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,155.0,0,0.9,,,,
XGBClassifier,0.8967391304347826,0.8966500788930695,0.909952606635071,"[[69  8]
 [11 96]]",83.67466926574707,1.2443065643310547,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,158.0,0,0.9,,,,
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",81.93302154541016,1.2743473052978516,binary:logistic,depthwise,gbtree,,,1.0,,0.4,0.01,12.0,,159.0,0,0.9,,,,
