model,accuracy,auc,f1_score,cm,training_time(ms),testing_time(ms),criterion,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_iter_no_change,random_state,subsample,tol,validation_fraction
gbc,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",884.4738006591797,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,500,10.0,0,1.0,0.0001,0.1
gbc,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",983.3898544311523,2.2630691528320312,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,200,10.0,0,1.0,0.0001,0.1
gbc,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",825.7784843444824,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,195,10.0,0,1.0,0.0001,0.1
gbc,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",809.7927570343018,1.9955635070800781,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,190,10.0,0,1.0,0.0001,0.1
gbc,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",775.7318019866943,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,180,10.0,0,1.0,0.0001,0.1
gbc,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",1103.7826538085938,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,150,10.0,0,1.0,0.0001,0.1
gbc,0.875,0.8706760529190436,0.8930232558139535,"[[65 12]
 [11 96]]",557.9674243927002,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,100,10.0,0,1.0,0.0001,0.1
gbc,0.8804347826086957,0.8753489501153052,0.8981481481481481,"[[65 12]
 [10 97]]",530.296802520752,0.9891986846923828,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,120,10.0,0,1.0,0.0001,0.1
gbc,0.8804347826086957,0.8753489501153052,0.8981481481481481,"[[65 12]
 [10 97]]",587.9864692687988,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,130,10.0,0,1.0,0.0001,0.1
gbc,0.8858695652173914,0.8818424566088118,0.9023255813953488,"[[66 11]
 [10 97]]",626.0535717010498,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,140,10.0,0,1.0,0.0001,0.1
gbc,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",593.0478572845459,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,145,10.0,0,1.0,0.0001,0.1
