model,accuracy,auc,f1_score,cm,training_time(ms),testing_time(ms),scoring,mean_scores,std_scores
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",192.33202934265137,0.0,"[0.92867647 0.93897059 0.93823529 0.93089431 0.91590909 0.89886364
 0.90151515 0.91477273 0.90037879 0.87348485]",0.914170090430851,0.01981828579150191
RandomForestClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",395.444393157959,16.180753707885742,"[0.95477941 0.95514706 0.94705882 0.93348115 0.92651515 0.9030303
 0.91439394 0.90757576 0.94734848 0.86818182]",0.9257511901656448,0.026414681297621704
VotingClassifier,0.8967391304347826,0.8948294695958247,0.9107981220657277,"[[68  9]
 [10 97]]",609.2712879180908,35.29477119445801,"[0.94705882 0.94926471 0.94485294 0.93569845 0.92575758 0.90075758
 0.90984848 0.90984848 0.93787879 0.87651515]",0.9237480979087866,0.02265466995138901
SVC,0.8804347826086957,0.8789901687097949,0.8962264150943396,"[[67 10]
 [12 95]]",76.54237747192383,0.0,"[0.95735294 0.93823529 0.92279412 0.9113082  0.92727273 0.88181818
 0.8969697  0.91515152 0.93560606 0.86060606]",0.9147114799356549,0.027142722342615166
GradientBoostingClassifier,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",603.8992404937744,1.0001659393310547,"[0.93382353 0.93970588 0.94558824 0.92904656 0.90681818 0.89431818
 0.92045455 0.92121212 0.93636364 0.82348485]",0.9150815725403243,0.03389990501631955
