,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
82,0.5975053787231446,0.015780351045520245,0.030287933349609376,0.0013840739817059492,400,9,5,sqrt,7,True,"{'n_estimators': np.int64(400), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(5), 'max_features': 'sqrt', 'max_depth': np.int64(7), 'bootstrap': True}",0.9546641791044777,0.9319029850746269,0.9220149253731343,0.9137673026561915,0.9053030303030303,0.9255304845022921,0.017025054662091935,13
83,0.5297142505645752,0.007159142950653391,0.0378267765045166,0.0017467667126786761,600,9,6,log2,1,False,"{'n_estimators': np.int64(600), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(6), 'max_features': 'log2', 'max_depth': np.int64(1), 'bootstrap': False}",0.9349813432835821,0.90830223880597,0.9347014925373135,0.8951552562663673,0.8867424242424242,0.9119765510271314,0.01989402481006502,62
84,1.2080447196960449,0.45024638538543815,0.051849365234375,0.016050210735220827,700,5,5,log2,2,True,"{'n_estimators': np.int64(700), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(5), 'max_features': 'log2', 'max_depth': np.int64(2), 'bootstrap': True}",0.9475746268656716,0.9188432835820896,0.9292910447761195,0.9044145155256267,0.8952651515151515,0.9190777244529318,0.018430890633011104,59
85,1.235730028152466,0.017921004636866935,0.0597292423248291,0.005795599226621239,800,9,4,log2,14,True,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(4), 'max_features': 'log2', 'max_depth': np.int64(14), 'bootstrap': True}",0.9539179104477612,0.9343283582089552,0.9201492537313432,0.9124579124579124,0.9026515151515151,0.9247009899994975,0.017905894286164833,26
87,1.237995481491089,0.35889786694891335,0.07122879028320313,0.02650099686345148,700,7,6,log2,8,False,"{'n_estimators': np.int64(700), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(6), 'max_features': 'log2', 'max_depth': np.int64(8), 'bootstrap': False}",0.955223880597015,0.9345149253731343,0.9205223880597015,0.9107744107744107,0.9066287878787878,0.9255328785366098,0.01767775323863709,12
88,0.14366450309753417,0.003418518793415973,0.010327291488647462,0.0010434137294144596,100,8,9,sqrt,12,True,"{'n_estimators': np.int64(100), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(9), 'max_features': 'sqrt', 'max_depth': np.int64(12), 'bootstrap': True}",0.9541044776119403,0.9244402985074626,0.921268656716418,0.9104002992891882,0.9083333333333332,0.9237094130916684,0.016394558678463355,39
90,1.2763033866882325,0.014011796525185862,0.05686502456665039,0.0017496018623664195,800,2,2,log2,16,True,"{'n_estimators': np.int64(800), 'min_samples_split': np.int64(2), 'min_samples_leaf': np.int64(2), 'max_features': 'log2', 'max_depth': np.int64(16), 'bootstrap': True}",0.9524253731343284,0.933955223880597,0.9210820895522389,0.9137673026561914,0.9007575757575756,0.9243975129961862,0.017662110963324283,30
91,0.6579620838165283,0.203993890773592,0.04587240219116211,0.01238810309058677,300,8,6,log2,8,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(6), 'max_features': 'log2', 'max_depth': np.int64(8), 'bootstrap': False}",0.955410447761194,0.9352611940298508,0.9190298507462686,0.910961466517022,0.9068181818181817,0.9254962281745034,0.017844650967782573,14
93,0.44827423095703123,0.12014624866488875,0.027578353881835938,0.009104090528947274,300,7,7,sqrt,14,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(7), 'max_features': 'sqrt', 'max_depth': np.int64(14), 'bootstrap': False}",0.955223880597015,0.933955223880597,0.9205223880597015,0.9079685746352413,0.9064393939393939,0.9248218922223896,0.01815563238872317,24
94,0.569893217086792,0.010366554076039751,0.028003787994384764,0.0003264936649220212,400,4,9,sqrt,6,True,"{'n_estimators': np.int64(400), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(9), 'max_features': 'sqrt', 'max_depth': np.int64(6), 'bootstrap': True}",0.9520522388059701,0.9274253731343284,0.9222014925373134,0.9117096894874672,0.9039772727272726,0.9234732133384703,0.016446700162820273,43
95,0.7413721561431885,0.02384618692264115,0.03574700355529785,0.0013108286557480201,500,8,8,sqrt,13,True,"{'n_estimators': np.int64(500), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(8), 'max_features': 'sqrt', 'max_depth': np.int64(13), 'bootstrap': True}",0.9511194029850746,0.9274253731343284,0.9210820895522389,0.9133931911709688,0.903030303030303,0.9232100719745828,0.01615439292494299,44
