model,accuracy,auc,f1_score,cm,training_time(ms),testing_time(ms)
SVC,0.8804347826086957,0.8789901687097949,0.8962264150943396,"[[67 10]
 [12 95]]",13.817071914672852,3.290414810180664
RandomForestClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",291.30101203918457,10.295629501342773
GradientBoostingClassifier,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",355.45897483825684,0.8707046508789062
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",67.63291358947754,1.1224746704101562
